"want_to_help","want_to_therapy","want_to_science","want_to_fun","conf_math","conf_symb_log","conf_real_log","conf_sci_meth","conf_writing","conf_sci_reading","conf_govmt","conf_vacc","conf_excel","conf_prog","conf_arts","like_dog","like_cat","like_snake","like_turtle","like_bat","like_dolphin","like_dnd","like_toenail","like_football","like_olympics","like_pie","like_pi","gender","pronouns","handedness","hispanic","ethnicity","hair_color","eye_color","siblings","job","caffeine","grade_predict","units","hrs_tv","hrs_reading","hrs_working","hrs_sleeping","hrs_school_work","hrs_excersize","hrs_other","hrs_per_day","hs_gpa","exam_option","final_exam_pref"
"Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",30.13,2.24,40.06,83.49,89.1,2.56,37.5,72.28,2.24,1.28,92.15,100,60.417,10.577,84.135,1.763,86.859,5.609,1.122,45.513,64.423,4.167,1.122,"Female","she/her","Right","Hispanic","White","Blonde","Brown",1,"Yes","Yes",70.67,40,1.31,0.96,5,5.85,8.19,1.15,0.54,23,3.71,"Online","Yes"
"Strongly Agree","Strongly Agree","Somewhat Disagree","Strongly Agree",55.15,51.62,74.56,53.24,78.68,75,48.38,30.15,50.15,30.44,13.38,100,77.941,49.118,66.618,33.824,55,35.147,2.647,81.765,68.382,68.235,2.794,"Male","he/him","Right","Hispanic","White","Brunette","Blue",2,"Yes","Yes",87.06,32,2.26,0.88,1.76,7.55,6.28,2.96,3.92,25.61,3.43,"No Preference","Yes"
"Strongly Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Somewhat Agree",30.29,0,38.24,1.03,48.97,1.03,1.91,1.03,1.03,1.03,1.03,100,19.853,9.559,35,1.029,68.529,1.029,1.029,1.029,33.971,65.588,1.618,"Female","she/her","Right","Hispanic","White","Brunette","Blue",3,"No","Yes",70.44,34,1.8,0,0,12.18,3,0,0,16.98,3.81,"Online","Yes"
"Strongly Agree","Strongly Agree","Somewhat Agree","Strongly Agree",70.59,84.12,82.65,90.44,97.21,82.79,46.91,53.53,77.38,40.62,77.38,71.265,96.912,45.147,63.824,38.235,53.382,1.912,12.353,1.618,87.353,64.412,1.912,"Female","she/her","Left","Hispanic","White","Blonde","Green",1,"Yes","No",92.44,35,3.35,2.33,5.86,8.96,4.52,1.2,1.45,27.67,4,"No Preference","Yes"
"Somewhat Agree","Somewhat Disagree","Somewhat Disagree","Somewhat Agree",30.15,28.53,45.88,46.03,70.59,57.65,84.71,51.18,42.21,15,73.97,95.294,93.088,25.735,100,26.765,57.647,16.471,2.353,54.265,17.941,70,11.618,"Male","he/him","Right","Hispanic","White","Blonde","Blue",2,"Yes","Yes",87.06,118,2.05,0.25,3.04,7.69,4.38,1.09,3.46,21.96,3.02,"Online","Yes"
"Strongly Agree","Somewhat Agree","Somewhat Disagree","Somewhat Agree",82.06,55.29,97.21,96.47,91.32,82.06,76.18,77.06,100,15.29,53.82,100,100,0.147,100,0.294,64.559,26.176,1.176,72.059,90.588,96.471,95.882,"Female","she/her","Right","Hispanic","White","Blonde","Blue",1,"Yes","Yes",81.18,36,0.64,2.22,2.22,7.06,4.84,2.12,4.59,23.69,3.98,"Online","Yes"
"Strongly Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Strongly Agree",9.41,0,30,40,85.59,65,50,50,0,0,60,100,30,0,60,0,50,0,0,50,30,50,0,"Female","she/her","Right","Hispanic","White","Brunette","Brown",1,"Yes","No",70.15,54,8.05,8.68,7.48,7.31,6,2.29,1.13,40.94,4,"Online","Yes"
"Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Agree",30.74,72.06,72.65,38.24,41.76,39.71,40.59,42.5,41.62,4.12,92.21,51.176,59.265,58.971,75.294,73.235,76.765,2.059,0.441,74.118,24.559,50.882,3.088,"Female","she/her","Right","Hispanic","Two or more","Brunette","Brown",0,"Yes","Yes",79.41,79,2.58,1.16,5.08,8.22,2.75,0.74,9.32,29.85,3.79,"Online","Yes"
"Strongly Agree","Somewhat Disagree","Neither Agree nor Disagree","Somewhat Agree",80.48,70.87,40.54,40.84,61.56,51.35,0,80.18,61.86,0,42.04,100,71.772,0,29.73,0,98.498,0,0,78.078,55.856,14.715,0,"Female","she/her","Right","Hispanic","White","Blonde","Hazel",1,"Yes","Yes",91.29,16,2.38,4.83,NA,8.72,2.74,2.74,0,21.41,3.84,"Online","No"
"Strongly Agree","Somewhat Agree","Somewhat Disagree","Strongly Agree",22.21,71.47,71.47,48.97,55.15,85.29,0.59,0.88,3.53,2.79,62.65,1.765,100,89.706,95.735,38.676,2.5,1.324,3.235,4.412,46.765,47.353,3.235,"Female","she/her","Right","Hispanic","White","Blonde","Hazel",0,"No","No",100,77,4.84,0.64,0.92,15.88,4.06,0.74,10.69,37.77,3.81,"Online","Yes"
